Model,Accuracy,Correct,Single_Inference_Time,Batch_Time
Logistic Regression,100.0,30/30,3.695487976074219e-05,0.00012683868408203125
Decision Tree,100.0,30/30,2.5272369384765625e-05,4.506111145019531e-05
Support Vector,100.0,30/30,3.790855407714844e-05,9.822845458984375e-05
